y_latitude,x_longitude,cluster_label
48.550204528,2.6494519092,0
48.866558182,2.332602642,1
48.731895207,2.2867027513,1
48.805735929,2.1293706125,1
48.860999791,2.3077823548,1
48.851937445,2.3567426589,1
49.041572485,2.134280381,2
48.805845378,2.1387681932,1
48.805845378,2.1387681932,1
48.8888298053357,2.15013363659659,1
48.884786175,2.3101111498,1
48.816248405,2.384190241,1
48.691996845,2.5121815814,1
48.895286649,2.2455251271,1
48.818337092,2.1436876289,1
48.858605685,2.5837972027,1
48.986879505,2.0638900087,3
48.843038884,2.2312684483,1
48.8090067794855,2.13650618275596,1
48.937557506,2.1892634561,1
48.897427525,2.2563844007,1
48.921636659,2.2402507969,1
48.901486545,2.2695965766,1
48.871168646,2.2916753766,1
48.870417718,2.2910721022,1
48.991945183,1.9636075998,4
48.825413131,2.3659101812,1
48.83351703,2.5582737148,1
48.878972596,2.9120169825,-1
48.86729166,2.3264328797,1
48.839579953,2.281960755,1
48.785655215,2.54064902,1
48.640780304,2.2700334541,1
48.871783301,2.3487552316,1
49.13457373,2.360889123,5
48.859271113,2.3465168376,1
48.8720403,2.3935661244,1
48.875767996,2.3475001323,1
48.824952508,2.3212045448,1
48.620080092,2.5662634747,6
48.95134504,2.2504111539,1
48.735256968,2.4302796054,1
48.845722045,2.3537493341,1
48.82613482,2.3738874494,1
48.966145271,2.3184610946,1
48.816215017,2.2225514538,1
48.874618215,2.3554386336,1
48.854754084,2.328880515,1
48.794148391,2.2990117679,1
48.874155227,2.3224591268,1
48.850408962,2.3393248859,1
48.837621455,2.2952948659,1
48.859180893,2.3539176909,1
48.8026861,1.9012018297,7
48.904900857564,2.37474215385528,1
48.9541784798959,2.45291397701706,1
48.804330509,2.4448117226,1
48.846865454,2.2273187803,1
48.899271156,2.2853388973,1
48.866643277,2.3972850236,1
48.8720403,2.3935661244,1
48.623249898,2.3128523754,1
48.887251321,2.3093447973,1
48.84904988,2.3988881657,1
48.449319318,2.6091388502,8
48.819246481,2.2425272627,1
48.870684849,2.2915319915,1
48.880149871,2.2958593331,1
48.829655863,2.3511096196,1
48.820711225,2.3644431569,1
48.81029244,2.1476662705,1
48.878005574,2.1750629715,1
48.938366373,2.1334618922,9
48.879586971,2.3435103086,1
48.857141309,2.4046404592,1
48.926842615,2.5276221124,1
48.8920279634233,2.45624931116517,1
48.874841537,2.3256167247,1
48.822139293,2.3613775287,1
48.776461214,2.0494634881,10
48.879885392,2.2896055808,1
48.813070615,2.1375189585,1
48.813070615,2.1375189585,1
48.847532628,2.2597236893,1
49.048003646,2.0130403677,2
48.881843326,2.3237847416,1
48.986393166,2.3472773677,1
48.9777073447268,2.37250666751442,1
49.052343702,2.4504547991,11
49.057612828,2.1395872862,2
48.86910581,2.2858325141,1
48.9090369598197,2.44235298710538,1
48.876542257,2.3521738947,1
48.876150773,2.2899660237,1
48.856296175,2.364064982,1
49.039407133,2.0064735928,2
48.998057874,2.1628364573,1
48.701649063,2.6170092207,12
48.978462522,2.2486757863,1
48.876150773,2.2899660237,1
48.800772498,2.3598515149,1
48.814324592,2.3521869418,1
48.812862553,2.2738036321,1
48.809722163,2.2690121714,1
48.86443454,2.3493732698,1
49.116617192,2.2915297166,129
48.843294481,2.403042141,1
48.969496622,2.1947342678,1
48.964681395,2.3942856418,1
49.145910338,1.8019965838,-1
48.315704176,2.6846548794,13
48.799540335,2.4596596505,1
48.826511618,2.2712512599,1
48.7689667083371,2.31650231262299,1
48.414283233,2.7015202903,14
48.794134956,2.3708290595,1
48.888539242,2.2870636753,1
48.8268764319635,2.23817773637933,1
48.843287961,2.2328017891,1
48.805469015,2.2814909946,1
48.798224448,2.4330416979,1
48.990838036,1.9944197037,4
48.868502022,2.2829050273,1
48.878256766,2.4160526952,1
48.861942458,2.3824738112,1
