y_latitude,x_longitude,cluster_label
48.846310275,2.2603745609,0
48.892204806,2.2069289396,0
48.810712259,2.0489499191,1
48.844461512,2.3488418409,0
48.840240224,2.3239334743,0
48.879301616,2.3010467741,0
48.886149611,2.279100659,0
48.853248487,2.4097422859,0
48.807254959,2.4112606252,0
48.813380722,2.4903348229,0
48.889977943,2.3730169418,0
48.972728783,2.3667846005,0
48.832599474,2.3135645903,0
48.893908698,2.3367584078,0
48.8720403,2.3935661244,0
48.845558918,2.351857284,0
48.590131837,2.1561651632,-1
48.865253778,2.3630709455,0
48.70401758,2.6207786363,2
48.851958382,2.3982793745,0
48.848101598,2.3003192052,0
48.829793996,2.3470756969,0
48.715698496,2.2583035292,0
48.649751313,2.3160612295,0
48.830024671,2.3230510868,0
48.868268193,2.3022295226,0
48.791005473,2.5134372009,0
48.87380592,2.3033592077,0
48.348668184,2.3941137545,-1
48.671925416,2.278174501,0
48.835319905,2.3311552268,0
48.842146984,2.3232360458,0
48.8880815884989,2.24174413986613,0
48.398057668,2.4169513752,3
48.794067101,2.3685533841,0
48.87557286,2.3126791885,0
48.785343936,2.374583812,0
48.830351351,2.3641884515,0
48.854210521,2.4064155468,0
48.889564857,2.3351662728,0
48.862787342,2.3881549637,0
48.830365345,2.3395857203,0
48.884830873,2.3116269655,0
48.894879337,2.3446977833,0
48.882034182,2.2990046455,0
48.881866862,2.3671587075,0
48.89223986,2.3748123678,0
48.870973756,2.3058596405,0
48.874515283,2.2897021397,0
48.977348941,1.7602397766,-1
48.863776754,2.2950010417,0
48.869875042,2.362564012,0
48.837417292,2.2860425796,0
48.860306625,2.3187307293,0
48.875269161,2.2837335353,0
48.701834898,2.9688714753,4
48.846854745,2.3940404404,0
48.877336781,2.3030897317,0
48.854692765,2.3690168115,0
48.947585107,1.6998362024,5
48.879659935,2.3469850413,0
48.922473895,1.5885548572,6
48.880378147,2.2874730645,0
48.87035658,2.3030195262,0
48.8557797805618,2.43498423696586,0
48.88824733,2.327434196,0
48.831222598,2.3795022168,0
48.853192988,2.3766314388,0
48.871186926,2.3056623904,0
48.886069483,2.354285022,0
48.884040634,2.2689351243,0
48.848716299,2.630519092,0
48.873886462,2.3490138822,0
48.882975558,2.6994192094,0
48.851045887,2.349203831,0
48.845447052,2.288292547,0
48.88893632,2.7725016879,7
48.876329636,2.2939012475,0
48.819488635,2.2551897222,0
48.905558031,2.2554701749,0
48.880002372,2.2863806816,0
48.529680615,2.6587276474,8
48.529680615,2.6587276474,8
48.875373692,2.4201588992,0
48.852637738,2.3001247377,0
48.404531475,2.6917890943,9
48.8952169945184,2.20306095100701,0
48.816984923,2.2553653524,0
48.794631389,2.2963211626,0
48.873098031,2.3547144132,0
48.8304759898036,2.36449030364609,0
48.8304759898036,2.36449030364609,0
48.853468402,2.2951022176,0
48.914407958,2.6279050076,10
48.918245962,2.3174455153,0
48.785068305,2.4024839003,0
48.89872417,2.501152131,0
48.859482783,2.3686916514,0
48.855955292,2.2773983975,0
48.836060075,2.3452955759,0
48.842779031,2.3266259611,0
48.881394392,2.3010500486,0
48.880336792,2.315544965,0
48.5704472524983,3.3018971905459,-1
48.860171758,2.3461942259,0
48.878150109,2.7750376537,11
48.793894332,2.2811494512,0
48.442786271,2.7597181026,9
48.841747654,2.3434882492,0
48.881598353,2.3652957701,0
48.849295893,2.3798818508,0
48.847708655,2.3649887572,0
48.907051501,1.9624912411,-1
48.837939017,2.3449967612,0
48.97573753,2.2889103454,0
48.882002498,2.2010182506,0
48.897925464,2.0885755271,0
48.453820964,3.0678180113,-1
48.625907322,2.5992568618,12
48.683996905,2.9572108426,13
48.776367207,1.9556815889,14
48.821086356,2.2064287219,0
48.284800898,2.6014247654,15
48.8846813,2.1915881368,0
48.863551788,2.3463118362,0
48.872684989,2.3420639366,0
48.852421828,2.34342872,0
48.914668196,2.4551965589,0
48.9105842368609,2.38021583211693,0
48.887321986,2.259079747,0
48.890892979,2.5153821374,0
48.845731042,2.4962640659,0
48.710628627,2.1458027257,16
48.904838967,2.3356642008,0
48.906279268,2.5044179552,0
48.808302201,2.5119713765,0
48.8783383986795,2.42943853115017,0
48.915778201,2.5761196987,0
48.851818719,2.374380175,0
48.788420393,2.6487018801,17
48.861318143,2.3713859743,0
48.808302201,2.5119713765,0
48.926361811,2.4723108358,0
48.833139156,2.3551055316,0
48.808302201,2.5119713765,0
48.858880783,2.5809860724,0
48.830515029,2.3021177573,0
48.933189782,2.4867438677,0
48.902405453489,2.38465795294812,0
49.019117677,2.0914154566,18
48.8798296138921,2.23192668463965,0
48.853739318,2.7553751162,19
48.881814654,2.2948086692,0
48.558463164,3.1483709645,20
48.849020849,2.2761481633,0
48.866280492,2.3577910518,0
48.894983867,2.5135914269,0
48.828455868,2.2407696957,0
48.891362062,2.3349060158,0
48.883551852,2.3234298275,0
48.888098026,2.3084853067,0
48.871724911,2.3881424128,0
48.853361921,2.3837216511,0
48.885752287,2.3157931613,0
48.808302201,2.5119713765,0
48.851173122,2.3785485114,0
48.90611572,2.4645368072,0
48.873557259,2.3640628324,0
48.86656742,2.3766974122,0
48.914668196,2.4551965589,0
48.849013293,2.151285873,0
48.849393492,2.2690976815,0
48.781812941176,2.3568095959615,0
48.949705514,2.919523625,21
48.851462043,2.3339598222,0
48.853931043,2.3802069252,0
49.068956382,2.1713254516,18
48.85884333,2.3702245827,0
48.857911095,2.4465801695,0
48.780015068,2.5774363356,0
48.874963209,2.2924294171,0
48.868271908,2.3030215176,0
48.847179984,2.2972900488,0
48.877363562,2.2867180323,0
48.828932753,2.3233554168,0
48.566639695,1.9360486165,22
48.853739318,2.7553751162,19
48.860856671,2.3801586111,0
48.879697359,2.3240757689,0
48.815093023,2.4025111103,0
48.837814801,2.2891812597,0
48.857441289,2.2781860262,0
48.89088548,2.3384396521,0
